nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par ,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,quant_viagem
 ALEXANDRE ROCHA SANTOS PADILHA,M,90,2,1,87,33,6,14/09/1971,291230.47,28905.73,34326.01,51157.02,37221.27,45106.22,23223.65,21479.04,9118.1,10932.37,29600.66,160.4,33763.0,1114786.73,111641.51,111641.51,111641.51,111641.51,111641.51,111641.51,110013.14,111641.51,111641.51,111641.51,0
 EMIDIO ALVES MADEIRA JUNIOR,M,80,12,12,16,6,4,10/03/1967,300056.22,56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7418.86,60.0,33763.0,1114845.39,110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32,0
 EMANUEL PINHEIRO DA SILVA PRIMO,M,70,22,3,11,8,1,05/01/1995,260989.2,18918.9,40897.04,43529.5,29158.03,34158.66,52895.35,15688.43,14630.6,825.9,6028.96,4257.83,33763.0,1067534.67,108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35,0
 ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,5,0,43,21,0,06/08/1994,323053.98,24947.21,28095.55,42425.59,43740.7,54222.55,37817.19,41206.87,22642.88,16871.36,11025.61,58.47,33763.0,1106991.7,111586.88,111302.18,110816.09,106788.8,110974.2,110159.38,111013.37,111312.77,111544.46,111493.57,0
 ENIO JOSÉ VERRI,M,89,3,2,32,4,0,27/03/1961,350522.15,38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,20363.46,60.0,33763.0,1111367.61,111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72,0
 EVAIR VIEIRA DE MELO,M,87,5,3,67,5,1,02/04/1972,316638.7,38264.38,46197.13,62458.72,38441.09,43315.06,24394.91,23069.95,14844.44,2615.55,22921.21,116.26,33763.0,1096962.77,106904.01,110527.26,107201.84,107178.21,108042.26,111172.72,111328.33,111555.88,111526.13,111526.13,0
 EXPEDITO GONCALVES FERREIRA NETTO,M,82,10,9,2,19,3,05/10/1988,222912.39,14767.54,30093.83,33348.33,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,26729.31,1521.8,33763.0,1099381.29,111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33,0
 EROS FERREIRA BIONDINI,M,88,4,4,33,15,1,20/05/1971,281611.85,22401.97,30438.97,33405.69,31526.03,36712.77,29487.2,35290.07,20709.2,17992.3,21750.88,1896.77,33763.0,836020.4,90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.6,86771.6,0
 FABIO HENRIQUE SANTANA DE CARVALHO,M,90,2,0,75,22,0,19/06/1972,393613.32,40955.79,38278.23,46688.34,53420.14,51837.95,35534.63,55589.55,49846.87,10956.64,10467.67,37.51,33763.0,1103960.07,110763.22,111436.47,110870.47,105066.49,109456.57,110377.32,111465.54,111465.54,111465.54,111592.91,0
 FELÍCIO LATERÇA DE ALMEIDA,M,84,8,7,103,12,6,26/05/1967,350247.62,33761.68,41861.86,62060.32,40359.41,38642.49,19555.55,31845.6,22935.73,20966.82,36513.88,1744.28,33763.0,1070004.37,103822.74,108245.62,111562.78,109721.17,92281.25,106166.2,108227.55,109988.01,108902.3,111086.75,0
 FÁBIO LUIZ SCHIOCHET FILHO,M,85,7,3,20,7,2,31/05/1988,376844.53,37195.31,41648.6,42043.11,46815.31,43700.43,50091.13,31304.74,25939.12,21593.26,32923.73,3589.79,33763.0,1114119.12,111568.63,111568.63,111568.63,111568.63,111568.63,111544.55,111526.14,111107.56,111107.56,110990.16,0
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,4,0,19,17,0,22/12/1961,289106.94,37959.25,46993.7,34431.36,27698.63,36101.94,23280.97,25058.29,19706.66,17071.96,19557.03,1247.15,33763.0,1073082.8,106849.52,105995.76,104102.48,110337.36,103699.99,104762.87,104762.87,110775.07,111665.77,110131.11,0
 FABIO DE ALMEIDA REIS,M,80,12,4,35,1,0,15/04/1977,312655.57,39865.8,33581.68,32144.11,43493.01,38648.54,34772.71,32086.43,21185.4,13796.32,22090.53,991.04,33763.0,1107209.05,108307.92,109336.37,109408.57,111574.66,111574.66,111574.66,111574.66,111574.66,111574.66,110708.23,0
 FAUSTO RUY PINATO,M,77,15,12,43,22,11,01/06/1977,338123.53,23272.69,28054.73,37320.63,39811.88,63069.18,29443.84,35430.36,32548.24,26577.3,22521.07,73.61,33763.0,980822.68,91753.84,90661.58,91078.38,93641.4,98083.43,98203.3,101733.13,105365.38,105151.12,105151.12,0
 FÁBIO RICARDO TRAD,M,90,2,1,88,3,0,18/08/1969,152333.76,9479.45,21339.35,11214.78,41034.1,25209.13,12053.32,5465.7,14089.48,2400.9,10011.5,36.05,33763.0,1112229.14,111501.88,111501.88,111501.88,111324.76,111501.88,111501.88,111501.88,111501.88,110217.75,110173.47,0
 FELIPE AUGUSTO LYRA CARRERAS,M,77,15,6,70,42,9,16/04/1975,184012.22,14274.35,25074.36,24477.74,14515.87,21740.82,16037.4,21745.42,29974.45,4715.52,11456.29,0.0,33763.0,1110530.22,108137.52,111659.58,111659.58,111659.58,111659.58,111571.02,109331.88,111617.16,111617.16,111617.16,0
 LUIS FELIPE BONATTO FRANCISCHINI,M,86,6,2,26,40,1,02/10/1991,290395.16,36420.46,40851.46,28714.76,44628.8,52025.43,41969.22,15569.99,12110.34,3776.09,14128.61,200.0,33763.0,1107177.89,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,110754.73,107237.53,107993.61,0
 FELIPE RIGONI LOPES,M,86,6,6,84,39,7,13/06/1991,314203.45,41526.2,38040.74,37743.41,40781.58,54439.33,34092.96,18297.1,23638.57,9243.23,14963.23,1437.1,33763.0,961510.1,97934.05,100493.35,100959.56,100959.56,104522.55,89598.5,80482.02,93565.41,93565.41,99429.69,0
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,6,6,30,24,8,29/11/1963,324962.29,30256.2,36235.51,35264.16,42584.56,50388.49,23719.29,43121.12,20178.34,14497.37,26697.48,2019.77,33763.0,1093456.69,111574.69,111574.69,111574.69,111574.69,111574.69,99983.33,107556.02,108772.32,109170.84,110100.73,0
 JAZIEL PEREIRA DE SOUSA,M,69,23,3,12,27,1,03/05/1961,332318.98,53231.07,44873.85,55545.89,35428.27,35377.77,36517.71,20837.34,20773.89,21505.53,8227.66,0.0,33763.0,1115897.66,111279.95,111565.34,111653.51,111653.51,111653.51,111477.8,111653.51,111653.51,111653.51,111653.51,0
 FREDERICO DE CASTRO ESCALEIRA,M,83,9,0,24,57,0,24/03/1977,310970.98,31170.62,36914.75,42269.93,38087.59,42514.0,33769.22,28862.16,24728.5,11486.99,20931.45,235.77,33763.0,1106826.4,111212.41,111201.53,110944.53,108641.77,111313.96,110772.89,111313.96,110891.9,111313.96,109219.49,0
 LUIZ ALBERTO OVANDO,M,86,6,5,70,12,0,25/09/1949,353911.42,40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21752.29,13797.33,2945.05,33763.0,973451.59,96640.72,96640.72,97315.81,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,0
 LEONARDO RIBEIRO ALBUQUERQUE,M,91,1,0,27,3,1,14/06/1978,319714.69,42371.4,36053.31,44978.86,51992.4,41703.89,36956.95,29525.44,11128.25,9478.35,15240.77,285.07,33763.0,1047250.04,99981.22,100959.57,99231.78,108961.58,104982.41,110759.92,111287.34,105356.57,102212.41,103517.24,0
 ZACARIAS CALIL HAMU,M,82,10,10,85,35,8,05/11/1953,227743.53,25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5479.94,20331.91,836.49,33763.0,806210.41,83672.5,77891.18,81413.26,83956.98,83956.98,83754.79,77891.18,77891.18,77891.18,77891.18,0
 EDILAZIO GOMES DA SILVA JUNIOR,M,87,5,5,12,1,1,04/05/1981,274890.22,29645.7,67991.37,21709.65,54054.0,19692.5,28378.82,18023.27,5308.77,14235.23,15850.91,0.0,33763.0,1113908.02,111402.54,111185.22,111659.65,111166.3,111659.65,111659.65,111659.65,110963.46,111241.12,111310.78,0
 EDUARDO LUIZ BARROS BARBOSA,M,92,0,0,91,17,0,25/08/1958,247845.06,22913.32,25992.8,30951.65,37263.0,34686.06,29255.32,23832.28,9244.83,5608.98,27466.51,630.31,33763.0,1114565.19,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111485.04,0
 JOSE EDUARDO PEREIRA DA COSTA,M,83,9,9,10,15,6,16/02/1968,333478.23,37602.77,29483.97,45130.56,42628.52,64988.16,22063.45,21894.85,13694.3,16136.05,37509.9,2345.7,33763.0,1112028.74,111313.96,111313.96,111421.78,111429.22,111429.22,111429.22,111429.22,110376.5,111374.63,110511.03,0
 ÉDIO VIEIRA LOPES,M,71,21,5,18,7,2,04/01/1952,352768.46,42432.81,39836.4,47117.63,54268.93,97784.62,14519.68,22739.81,16900.14,1349.74,15390.97,427.73,33763.0,1109839.83,110495.02,110495.02,111469.88,111408.97,111368.53,111370.96,111441.31,111441.31,111441.31,108907.52,0
 EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,84,8,3,2,41,1,17/10/1972,329401.1,34083.35,42566.48,45258.71,48013.04,46806.07,25355.86,21639.01,25533.18,16566.48,23578.92,0.0,33763.0,1055312.52,110448.12,108787.76,97120.73,102047.21,105204.32,111471.69,102622.24,103739.73,108433.33,105437.39,0
 EFRAIM DE ARAÚJO MORAIS FILHO,M,73,19,9,6,19,5,18/03/1979,265206.49,31920.25,54289.28,52463.46,51650.4,42763.1,7412.58,9627.39,8755.96,1.36,5893.42,429.29,33763.0,1115589.62,111148.6,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111575.98,111544.43,0
 ADRIANO ELI CORRÊA,M,82,10,0,42,27,0,13/01/1976,265305.28,22593.3,23225.37,28285.66,57687.8,56126.53,30297.57,22196.45,6522.28,421.69,17948.63,0.0,33763.0,1048068.72,105205.6,105205.6,105205.6,105205.6,101881.14,104761.01,106115.52,106115.52,106115.52,102257.61,0
